iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped
1,Lotsmart QA API_v1.24.0,CreateUserwithmanagerroles,POST,https://qaapi.lojack.com/v1/users,Created,201,5837,2222,"Successful POST request, Content-Type is present, Response has JSON body, content type is present in response header, username and role support, user applicaion support, Response time is less than 200ms",,
1,Lotsmart QA API_v1.24.0,CreateUserwithmanagerassistroles,POST,https://qaapi.lojack.com/v1/users,Created,201,5232,2231,"Successful POST request, Content-Type is present, Response has JSON body, content type is present in response header, username and role support, user applicaion support, Response time is less than 200ms",,
1,Lotsmart QA API_v1.24.0,DeleteUserwithadminroleO,OPTIONS,https://qaapi.lojack.com/v1/users/45999,OK,200,574,0,"Status code is 200, Content-Type is present, Check if target is undefined, Response time is less than 200ms, content type is present in response header",,
1,Lotsmart QA API_v1.24.0,DeleteUserwithadminrole,DELETE,https://qaapi.lojack.com/v1/users/45999,OK,200,2340,2246,"Status code is 200, Content-Type is present, Response has JSON body, Response has JSON body, Response time is less than 1400ms, content type is present in response header, Deleted user-id  present in response body, Deleted user  present in response body",,
1,Lotsmart QA API_v1.24.0,DeleteUserwithadminassistroleO,OPTIONS,https://qaapi.lojack.com/v1/users/46000,OK,200,573,0,"Status code is 200, Content-Type is present, Check if target is undefined, Response time is less than 200ms, content type is present in response header",,
1,Lotsmart QA API_v1.24.0,DeleteUserwithadminassistrole Copy,DELETE,https://qaapi.lojack.com/v1/users/46000,OK,200,2195,2251,"Status code is 200, Content-Type is present, Response has JSON body, Response time is less than 1400ms, content type is present in response header, Deleted user-id  present in response body, Deleted user  present in response body",,
1,Lotsmart QA API_v1.24.0,DeleteUserwithsalesroleO,OPTIONS,https://qaapi.lojack.com/v1/users/46001,OK,200,298,0,"Status code is 200, Content-Type is present, Check if target is undefined, Response time is less than 200ms, content type is present in response header",,
1,Lotsmart QA API_v1.24.0,DeleteUserwithsalesrole,DELETE,https://qaapi.lojack.com/v1/users/46001,OK,200,2270,2239,"Status code is 200, Content-Type is present, Response has JSON body, Response has JSON body, Response time is less than 1400ms, content type is present in response header, Deleted user-id  present in response body, Deleted user  present in response body",,
1,Lotsmart QA API_v1.24.0,DeleteUserwithManagerO,OPTIONS,https://qaapi.lojack.com/v1/users/46002,OK,200,578,0,"Status code is 200, Content-Type is present, Check if target is undefined, Response time is less than 200ms, content type is present in response header",,
1,Lotsmart QA API_v1.24.0,DeleteUserwithManager,DELETE,https://qaapi.lojack.com/v1/users/46002,OK,200,2242,2244,"Status code is 200, Content-Type is present, Response has JSON body, Response has JSON body, Response time is less than 1400ms, content type is present in response header, Deleted user-id  present in response body, Deleted user  present in response body",,
1,Lotsmart QA API_v1.24.0,DeleteUserwithManagerassistroleO,OPTIONS,https://qaapi.lojack.com/v1/users/46003,OK,200,574,0,"Status code is 200, Content-Type is present, Check if target is undefined, Response time is less than 200ms, content type is present in response header",,
1,Lotsmart QA API_v1.24.0,DeleteUserwithManagerassistroleO,DELETE,https://qaapi.lojack.com/v1/users/46003,OK,200,2392,2253,"Status code is 200, Content-Type is present, Response has JSON body, Response time is less than 1400ms, content type is present in response header, Deleted user-id  present in response body, Deleted user  present in response body",,
1,Lotsmart QA API_v1.24.0,suredrivetaskstatusofacc,GET,https://qaapi.lojack.com/v1/accounts/5585/tasks,OK,200,1190,33087,"Status code is 200, Content-Type is present, Response has JSON body, content type is present in response header, Response time is less than 1200ms, Response has JSON body, sd task status: , sd task status: ",,
